Dropoff Address
"01-03/04, 55, Upper Serangoon Road, Toa Payoh, Singapore, Singapore, 347694"
"83, Punggol Central, Punggol, Singapore, Singapore, 828761"
"7, Raffles Boulevard, Downtown Core, Singapore, Singapore, 039595"
"449536, Marine Parade, Singapore, Singapore"
"33, Erskine Road, Outram, Singapore, Singapore, 069333"
"25, Marine Parade Road, Marine Parade, Singapore, Singapore, 449536"
"10, Claymore Road, Orchard, Singapore, Singapore, 229540"
"1, Fullerton Square, Downtown Core, Singapore, Singapore, 049178"
"Singapore, Queenstown, Singapore"
"100, Orchard Road, Orchard, Singapore, Singapore, 238840"
"Orchard District, 28, Stevens Road, Tanglin, Singapore, Singapore, 257878"
"10, Collyer Quay, Downtown Core, Singapore, Singapore, 049315"
"80, Collyer Quay, Downtown Core, Singapore, Singapore, 049326"
"76, Bras Basah Road, Downtown Core, Singapore, Singapore, 189558"
"11, Canning Walk, Museum, Singapore, Singapore, 178881"
"10, Claymore Road, Orchard, Singapore, Singapore, 229540"
"15, Stamford Road, Downtown Core, Singapore, Singapore, 178906"
"27-00, Shaw Centre, 1, Scotts Road, Orchard, Singapore, Singapore, 228208"
"10, Coleman Street, Downtown Core, Singapore, Singapore, 179809"
"7, Raffles Boulevard, Downtown Core, Singapore, Singapore, 039595"
"581, Orchard Road, Orchard, Singapore, Singapore, 238883"
"87, Victoria Street, Rochor, Singapore, Singapore, 188016"
"391A, Orchard Road, Orchard, Singapore, Singapore, 238873"
"5, Fraser Street, Downtown Core, Singapore, Singapore, 189354"
"01 02, Orchard District, 28, Stevens Road, Tanglin, Singapore, Singapore, 257878"
"366, Orchard Road, Orchard, Singapore, Singapore, 238904"
"01-02, 175, Albert Street, Rochor, Singapore, Singapore, 189970"
"Singapore, Changi, Singapore"
"80, Collyer Quay, Downtown Core, Singapore, Singapore, 049326"
"18, Raffles Quay, Downtown Core, Singapore, Singapore, 048582"
"442, Orchard Road, Orchard, Singapore, Singapore, 238879"
"2, Stamford Road, Downtown Core, Singapore, Singapore, 178882"
"219, Joo Chiat Road, Geylang, Singapore, Singapore, 427485"
"22, Scotts Road, Orchard, Singapore, Singapore, 228221"
"Marina View, Downtown Core, Singapore, Singapore"
"23, Merchant Road, Singapore River, Singapore, Singapore, 058268"
"277, Orchard Road, Orchard, Singapore, Singapore, 238858"
"10, Coleman Street, Downtown Core, Singapore, Singapore, 179809"
"Access Via, Nicoll Highway, Downtown Core, Singapore, Singapore, 189763"
